formula,P,Tc,AD
YH9,300,267,1
YH9,150,267,1
YH9,100,267,1
YH8,300,267,1
YH8,250,267,1
YH8,200,267,1
YH8,150,267,1
YH8,100,267,1
YH9,250,267,1
YH9,200,267,1
YH6,250,264,1
YH6,200,264,1
YH7,100,264,1
YH7,150,264,1
YH7,200,264,1
YH7,250,264,1
YH7,300,264,1
YH6,150,264,1
YH6,100,264,1
YH5,300,264,1
YH5,250,264,1
YH5,200,264,1
YH5,150,264,1
YH5,100,264,1
YH6,300,264,1
YH10,100,244,1
YH10,150,244,1
YH10,200,244,1
YH10,250,244,1
PrH10,200,238,1
LaH10,150,238,1
LaH10,200,238,1
PrH10,100,238,1
PrH10,150,238,1
EuH9,200,238,1
EuH10,100,238,1
PmH10,150,238,1
PmH10,200,238,1
EuH10,200,238,1
EuH10,150,238,1
NdH10,200,238,1
LaH10,100,238,1
YH10,300,233,1
NdH10,250,212,1
EuH10,250,212,1
EuH9,250,212,1
PmH10,250,212,1
LaH9,250,212,1
PrH10,250,212,1
LaH10,250,212,1
NdH10,300,196,1
TbH10,300,196,1
PmH10,300,196,1
LaH9,300,196,1
PrH10,300,196,1
EuH9,300,196,1
EuH10,300,196,1
LaH10,300,196,1
DyH10,300,196,1
H9S2,200,191,1
H3S,200,191,1
H7S2,200,191,1
H5S,200,191,1
H4S,200,191,1
H3S,250,184,1
H4S,250,184,1
H7S2,250,184,1
H9S2,250,184,1
H5S,250,184,1
H3S,300,179,1
H5S,300,179,1
H9S2,300,179,1
H7S2,300,179,1
H4S,300,179,1
SrH8,150,172,1
SrH8,100,172,1
CaH5,300,172,1
CaH5,100,172,1
CaH5,150,172,1
CaH5,200,172,1
CaH5,250,172,1
CaH6,100,172,1
CaH6,150,172,1
CaH6,200,172,1
CaH6,250,172,1
CaH6,300,172,1
SrH7,100,172,1
CaH7,150,172,1
CaH7,200,172,1
CaH7,250,172,1
CaH7,300,172,1
CaH7,100,172,1
SrH7,150,172,1
SrH7,300,172,1
SrH8,200,172,1
SrH8,250,172,1
SrH7,200,172,1
SrH7,250,172,1
DyH6,150,170,1
TbH5,200,170,1
TbH5,100,170,1
TbH5,150,170,1
DyH6,300,170,1
SmH6,150,170,1
DyH6,250,170,1
DyH6,200,170,1
PmH5,100,170,1
PmH5,150,170,1
PmH6,100,170,1
LaH6,200,170,1
PmH6,150,170,1
PmH6,200,170,1
PmH6,250,170,1
PmH6,300,170,1
PmH7,100,170,1
PmH7,150,170,1
PmH7,200,170,1
PmH7,250,170,1
TbH6,150,170,1
TbH6,100,170,1
TbH5,300,170,1
TbH5,250,170,1
DyH6,100,170,1
EuH5,200,170,1
EuH5,150,170,1
EuH5,100,170,1
CeH5,150,170,1
CeH5,200,170,1
CeH5,250,170,1
CeH5,300,170,1
CeH6,100,170,1
CeH6,150,170,1
CeH6,200,170,1
DyH5,300,170,1
LaH7,150,170,1
SmH6,100,170,1
SmH7,200,170,1
SmH7,150,170,1
SmH7,100,170,1
SmH6,300,170,1
SmH6,250,170,1
EuH5,250,170,1
EuH5,300,170,1
EuH6,100,170,1
EuH6,150,170,1
LaH7,100,170,1
DyH5,250,170,1
LaH6,300,170,1
LaH6,250,170,1
CeH5,100,170,1
EuH6,300,170,1
EuH6,250,170,1
EuH6,200,170,1
DyH7,100,170,1
SmH6,200,170,1
DyH7,150,170,1
LaH5,250,170,1
LaH6,150,170,1
PrH6,250,170,1
PrH5,150,170,1
PrH5,200,170,1
PrH6,100,170,1
TbH7,200,170,1
TbH7,150,170,1
TbH7,100,170,1
TbH6,300,170,1
TbH6,250,170,1
TbH6,200,170,1
PrH6,150,170,1
DyH7,200,170,1
PrH6,200,170,1
LaH6,100,170,1
LaH5,300,170,1
LaH5,150,170,1
DyH5,150,170,1
LaH5,100,170,1
PrH6,300,170,1
DyH5,200,170,1
PrH5,100,170,1
PrH7,100,170,1
DyH5,100,170,1
LaH5,200,170,1
CeH6,250,170,1
CeH6,300,170,1
CeH7,100,170,1
PrH7,200,170,1
PrH7,150,170,1
ScH7,100,169,1
ScH7,150,169,1
ScH7,200,169,1
ScH7,250,169,1
TiH7,200,169,1
ScH7,300,169,1
TiH7,300,169,1
TiH7,250,169,1
ScH9,200,163,1
ScH9,250,163,1
ScH9,300,163,1
ScH9,100,163,1
TiH10,300,163,1
TiH10,200,163,1
TiH10,250,163,1
ScH9,150,163,1
H5S,100,155,1
H5S,150,155,1
H3S,100,155,1
H4S,150,155,1
H7S2,100,155,1
H4S,100,155,1
H7S2,150,155,1
H9S2,100,155,1
H9S2,150,155,1
H3S,150,155,1
AsH10,150,141,1
AsH10,200,141,1
AsH10,250,141,1
AsH10,100,141,1
AsH10,300,141,1
AsH8,250,141,1
AsH9,300,141,1
AsH8,200,141,1
AsH9,250,141,1
AsH9,200,141,1
AsH7,250,141,1
AsH7,300,141,1
AsH9,150,141,1
AsH9,100,141,1
AsH8,300,141,1
AsH8,100,141,1
AsH8,150,141,1
AsH7,150,141,1
AsH7,200,141,1
AsH7,100,141,1
AsH6,300,141,1
AsH5,100,141,1
AsH5,150,141,1
AsH5,200,141,1
AsH5,250,141,1
AsH5,300,141,1
AsH6,100,141,1
AsH6,150,141,1
AsH6,200,141,1
AsH6,250,141,1
TbH9,300,131,1
TbH7,300,131,1
TbH8,300,131,1
TbH8,250,131,1
TbH8,200,131,1
TbH8,150,131,1
TbH8,100,131,1
TbH7,250,131,1
PrH9,250,131,1
PrH7,300,131,1
PrH8,100,131,1
PrH8,150,131,1
PrH8,200,131,1
PrH8,250,131,1
PrH8,300,131,1
PrH9,300,131,1
DyH7,250,131,1
NdH7,300,131,1
NdH8,100,131,1
NdH8,150,131,1
NdH8,200,131,1
PrH7,250,131,1
DyH7,300,131,1
NdH8,300,131,1
CeH8,300,131,1
CeH7,150,131,1
CeH7,200,131,1
CeH7,250,131,1
CeH7,300,131,1
CeH8,200,131,1
CeH8,250,131,1
DyH8,100,131,1
DyH8,200,131,1
DyH8,150,131,1
DyH8,250,131,1
DyH8,300,131,1
NdH8,250,131,1
NdH9,250,131,1
EuH7,300,131,1
SmH9,300,131,1
EuH7,100,131,1
EuH7,150,131,1
EuH7,200,131,1
DyH9,300,131,1
EuH7,250,131,1
EuH8,150,131,1
EuH8,200,131,1
EuH8,250,131,1
EuH8,300,131,1
NdH9,300,131,1
PmH9,200,131,1
PmH7,300,131,1
PmH8,100,131,1
PmH8,150,131,1
PmH8,200,131,1
PmH8,250,131,1
PmH8,300,131,1
PmH9,250,131,1
PmH9,300,131,1
SmH7,250,131,1
SmH7,300,131,1
SmH8,150,131,1
SmH8,250,131,1
SmH8,300,131,1
SmH8,200,131,1
LaH7,300,131,1
LaH8,200,131,1
LaH8,300,131,1
LaH8,250,131,1
LaH8,150,131,1
LaH7,200,131,1
LaH7,250,131,1
TiH7,100,122,1
TiH6,100,122,1
ScH6,100,122,1
ScH5,100,122,1
ScH10,200,120,1
ScH10,150,120,1
ScH10,100,120,1
TiH10,100,120,1
ScH10,250,120,1
ScH10,300,120,1
TiH10,150,120,1
TiH8,250,117,1
TiH8,100,117,1
TiH8,150,117,1
TiH9,300,117,1
TiH9,250,117,1
TiH9,200,117,1
TiH9,150,117,1
ScH8,100,117,1
ScH8,150,117,1
TiH9,100,117,1
ScH8,200,117,1
ScH8,250,117,1
TiH8,200,117,1
TiH8,300,117,1
ScH8,300,117,1
H3Se,200,116,1
H7Se2,200,116,1
H4Se,200,116,1
H5Se2,100,116,1
H4Se,150,116,1
H4Se,100,116,1
H7Se2,150,116,1
H7Se2,100,116,1
H3Se,150,116,1
H3Se,100,116,1
H2Se,200,116,1
H5Se2,200,116,1
H5Se2,150,116,1
H2Se,150,116,1
H2Se,100,116,1
H7Se2,250,111,1
H5Se2,250,111,1
H4Se,250,111,1
H3Se,250,111,1
H2Se,250,111,1
H7Se2,300,110,1
H2Se,300,110,1
H4Se,300,110,1
H5Se2,300,110,1
H3Se,300,110,1
BiH5,300,109,1
Bi2H9,300,109,1
H5Pb,300,109,1
TiH5,200,104,1
TiH4,200,104,1
Sc2H9,200,104,1
Ti2H9,200,104,1
Sc2H7,200,104,1
Ti2H7,200,104,1
ScH4,200,104,1
H9Pb,300,103,1
H8Pb,300,103,1
H9Pb,100,103,1
H9Pb,150,103,1
H8Pb,150,103,1
H10Pb,150,103,1
H8Pb,200,103,1
H9Pb,200,103,1
H8Pb,250,103,1
H10Pb,200,103,1
H9Pb,250,103,1
H10Pb,300,103,1
H10Pb,250,103,1
H6Pb,100,103,1
H6Pb,200,103,1
H6Pb,250,103,1
H6Pb,300,103,1
H7Pb,100,103,1
H7Pb,150,103,1
H7Pb,200,103,1
H7Pb,250,103,1
ScH6,200,103,1
ScH5,200,103,1
H6Pb,150,103,1
TiH6,200,103,1
H8Pb,100,103,1
H7Pb,300,103,1
SbH4,200,102,1
SbH7,100,102,1
SbH4,100,102,1
SbH5,200,102,1
SbH6,100,102,1
SbH6,150,102,1
SbH6,200,102,1
SbH4,150,102,1
Sb2H7,150,102,1
SbH7,150,102,1
SbH7,200,102,1
Sb2H7,100,102,1
SbH5,150,102,1
Sb2H7,200,102,1
Sb2H9,100,102,1
Sb2H9,150,102,1
Sb2H9,200,102,1
SbH5,100,102,1
BiH8,300,101,1
BiH6,300,101,1
BiH9,300,101,1
BiH10,300,101,1
BiH7,300,101,1
TeH4,200,99,1
SbH7,250,99,1
SbH6,250,99,1
Sb2H9,250,99,1
TeH5,200,99,1
SbH5,250,99,1
SbH4,250,99,1
TeH6,200,99,1
TeH7,200,99,1
Te2H7,200,99,1
Te2H9,200,99,1
Sb2H7,250,99,1
BiH10,250,96,1
BiH6,250,96,1
BiH9,250,96,1
BiH7,250,96,1
BiH8,250,96,1
Bi2H9,200,94,1
H5Pb,150,94,1
Bi2H9,150,94,1
Bi2H9,100,94,1
H5Pb,100,94,1
H5Pb,200,94,1
YH4,100,94,1
YH4,150,94,1
BiH5,200,94,1
BiH5,150,94,1
Y2H9,150,94,1
Y2H9,100,94,1
Y2H7,150,94,1
BiH5,100,94,1
Y2H7,100,94,1
InH10,300,93,1
InH10,250,93,1
InH10,200,93,1
SnH10,250,93,1
SbH7,300,93,1
SbH6,300,93,1
SbH5,300,93,1
SbH4,300,93,1
InH10,150,93,1
SnH10,100,93,1
SnH10,150,93,1
SnH10,200,93,1
SnH10,300,93,1
Sb2H7,300,93,1
Sb2H9,300,93,1
InH10,100,93,1
Sc2H7,150,92,1
TiH4,100,92,1
Sc2H9,150,92,1
Sc2H9,100,92,1
Ti2H7,100,92,1
Sc2H7,100,92,1
TiH5,100,92,1
Ti2H7,150,92,1
Ti2H9,100,92,1
Ti2H9,150,92,1
TiH4,150,92,1
TiH5,150,92,1
ScH4,150,92,1
ScH4,100,92,1
Te2H9,250,91,1
Sn2H5,250,91,1
In2H7,250,91,1
Sn2H5,300,91,1
Sn2H7,250,91,1
TeH4,250,91,1
TeH5,250,91,1
TeH6,250,91,1
TeH7,250,91,1
Sn2H9,300,91,1
Te2H7,250,91,1
Sn2H9,250,91,1
Sn2H7,300,91,1
In2H9,300,91,1
InH5,300,91,1
SnH5,250,91,1
SnH3,300,91,1
SnH4,250,91,1
SnH4,300,91,1
SnH5,300,91,1
InH5,250,91,1
InH4,300,91,1
SnH3,250,91,1
InH4,250,91,1
In2H9,250,91,1
Ti2H7,300,90,1
Sc2H9,300,90,1
TiH4,300,90,1
TiH5,300,90,1
ScH4,300,90,1
Ti2H9,300,90,1
Sc2H7,300,90,1
BiH6,200,88,1
BiH6,150,88,1
BiH6,100,88,1
BiH5,250,88,1
BiH7,100,88,1
BiH8,100,88,1
BiH7,150,88,1
H5Pb,250,88,1
Bi2H9,250,88,1
H10Se,250,87,1
H7Se,250,87,1
ScH6,300,87,1
H9Se,250,87,1
H9Se2,250,87,1
H8Se,250,87,1
H5Se,250,87,1
H6Se,250,87,1
Te2H9,150,85,1
TeH5,100,85,1
TeH4,100,85,1
TeH4,150,85,1
TeH6,100,85,1
TeH5,150,85,1
TeH6,150,85,1
TeH7,100,85,1
Te2H7,100,85,1
Te2H7,150,85,1
Te2H9,100,85,1
TeH7,150,85,1
PH3,300,83,1
P2H9,250,83,1
P2H9,300,83,1
P2H5,200,83,1
P2H5,250,83,1
P2H5,300,83,1
P2H7,200,83,1
P2H7,250,83,1
P2H7,300,83,1
P2H9,150,83,1
P2H9,200,83,1
PH3,200,83,1
PH3,250,83,1
PH4,200,83,1
PH4,250,83,1
PH4,300,83,1
H4Pb,100,82,1
Bi2H7,100,82,1
H4Pb,150,82,1
BiH3,150,82,1
BiH4,150,82,1
BiH4,100,82,1
BiH3,100,82,1
Bi2H7,150,82,1
H7Pb2,100,82,1
H7Pb2,150,82,1
H9Pb2,100,82,1
H9Pb2,150,82,1
Li2H9,300,81,1
LiH6,300,81,1
LiH4,300,81,1
LiH5,300,81,1
Bi2H7,200,80,1
H9Pb2,200,80,1
BiH4,200,80,1
H4Pb,200,80,1
H7Pb2,200,80,1
BiH3,200,80,1
BiH9,200,79,1
BiH9,150,79,1
BiH9,100,79,1
BiH8,200,79,1
BiH10,100,79,1
BiH10,150,79,1
BiH10,200,79,1
BiH8,150,79,1
BiH7,200,79,1
PH2,300,75,1
PH2,200,75,1
PH2,250,75,1
P2H3,300,75,1
P2H3,250,75,1
P2H3,200,75,1
ScH6,150,75,1
SiH4,100,74,1
SiH3,100,74,1
Si2H7,100,74,1
Si2H9,100,74,1
SiH6,100,74,1
SiH5,100,74,1
BiH3,250,73,1
BiH4,250,73,1
H7Pb2,250,73,1
H9Pb2,250,73,1
H4Pb,250,73,1
Bi2H7,250,73,1
SnH8,250,72,1
SnH8,200,72,1
SnH8,300,72,1
SnH9,100,72,1
SnH9,150,72,1
SnH8,150,72,1
SnH7,300,72,1
SnH8,100,72,1
SnH7,250,72,1
SnH7,200,72,1
SnH7,150,72,1
SnH7,100,72,1
SnH6,300,72,1
SnH9,200,72,1
SnH9,300,72,1
InH9,100,72,1
InH9,150,72,1
InH9,200,72,1
InH9,250,72,1
InH9,300,72,1
SnH9,250,72,1
SnH6,200,72,1
SnH6,250,72,1
SnH6,150,72,1
SnH6,100,72,1
H5S2,150,71,1
H5S2,200,71,1
H5S2,250,71,1
H5S2,300,71,1
Bi2H7,300,69,1
BiH4,300,69,1
BiH3,300,69,1
H4Pb,300,69,1
H7Pb2,300,69,1
H9Pb2,300,69,1
TiH4,250,68,1
H2S,300,68,1
H2S,250,68,1
H2S,200,68,1
Ti2H7,250,68,1
Ti2H9,250,68,1
Sc2H7,250,68,1
ScH4,250,68,1
TiH5,250,68,1
Sc2H9,250,68,1
ScH5,300,65,1
TiH6,300,65,1
ScH5,150,63,1
GeH5,300,63,1
TiH7,150,63,1
GeH6,300,63,1
GeH4,300,63,1
Ge2H9,300,63,1
TiH6,150,63,1
GeH7,300,63,1
SnH3,200,62,1
In2H9,200,62,1
SnH5,200,62,1
InH5,200,62,1
Sn2H5,200,62,1
InH4,200,62,1
SnH4,200,62,1
Sn2H7,200,62,1
Sn2H9,200,62,1
In2H7,200,62,1
H5Pb2,300,59,1
SmH10,300,59,1
TbH10,250,59,1
SmH10,250,59,1
SmH10,200,59,1
CeH10,250,59,1
CeH10,100,59,1
CeH10,200,59,1
CeH10,150,59,1
CeH9,300,59,1
Bi2H5,300,59,1
Bi2H3,300,59,1
CeH10,300,59,1
BiH2,300,59,1
DyH10,200,59,1
DyH10,250,59,1
H2Pb,300,59,1
DyH10,150,59,1
TbH10,200,59,1
TbH10,150,59,1
K2H9,150,58,1
KH5,100,58,1
K2H9,100,58,1
KH5,150,58,1
RbH7,100,58,1
RbH7,150,58,1
KH6,100,58,1
KH6,150,58,1
KH8,150,58,1
KH8,100,58,1
KH7,150,58,1
KH7,100,58,1
KH9,100,58,1
KH4,100,58,1
KH4,150,58,1
KH9,150,58,1
KH10,100,58,1
KH10,150,58,1
KH6,250,57,1
H5Pb2,250,57,1
KH10,200,57,1
KH10,250,57,1
KH6,300,57,1
Bi2H5,250,57,1
KH6,200,57,1
KH7,300,57,1
KH7,250,57,1
KH7,200,57,1
KH9,300,57,1
